Name,Ward,Office Phone,Email,Website,Office Address,Zip,City Hall Phone,City Hall Address,Took office,Party,Main community areas,Mayoral Appointment,Leadership Roles,Military Affiliated,"RCV Position (1 best, 4 worst, 0 unknown)",Notes,Charter Comission Resolution (16JUL25),,Questions
"Vasquez, Jr., Andre",40,(773) 654-1867,Ward40@cityofchicago.org,http://www.40thward.org,5620 North Western Avenue,60659,(312) 744-6858/7248/3511,"121 North LaSalle Street, Room 200",2019,D,"Lincoln Square, West Ridge",No,Latino Caucus Chair,,1,"Opposed Mayor Lightfoot's budget, censured by the DSA over approving a 2021 budget, critic of Mayor Johnson, voted to enact reforms to Chicago's budget process and an office of financial analysis",Sponsor,,
"Napolitano, Anthony V.",41,(773) 631-2241,Ward41@cityofchicago.org,http://www.chicago41.com,7231 West Touhy Avenue,60631,(312) 744-3942/3208,"121 North LaSalle Street, Room 300",2015,I,"O'Hare, Norwood Park",No,,,4,"Former police officer, former fire fighter, critic of sancturary city status, critic of Chicago's lack of support for the police, ",Sponsor,,
"Reilly, Brendan",42,(312) 642-4242,Ward42@cityofchicago.org,,"121 North LaSalle Street, Room 200, Office 6",60602,(312) 642-4242,"121 North LaSalle Street, Room 200, Office 6",2007,D,"Near North Side, Loop",No,,,2,"Endorsed William Conway, recieved repremand from the Cook County Democratic Party over election endorsement, endorsed Paul Vallas for mayor, considering run for Cook County Executive, candidate for mayor in 2027",Sponsor,,
"Knudsen, Timothy R.",43,(773) 348-9500,Ward43@cityofchicago.org,https://ward43.org,2523 North Halsted Street,60614,(312) 744-3071/5685,"121 North LaSalle Street, Room 200",2022,D,Lincoln Park,Yes,,,1,Democratic Party machine member,,,
"Lawson, Bennett R.",44,(773) 525-6034,Ward44@cityofchicago.org,,"3223 North Sheffield Avenue, Suite A",60657,(312) 744-3073/3133,"121 North LaSalle Street, Room 300",2023,D,Lake View,No,,,2,"Affordable housing advocate, ran unopposed due to 'technical issue,' worked for the former alderman of the ward as chief of staff",,,
"Gardiner, James M.",45,(773) 853-0799,Ward45@cityofchicago.org,http://www.aldermangardiner.com,5460 N. Milwaukee Ave,60630,(312) 744-6841/5684,"121 North LaSalle Street, Room 200",2019,D,"Jefferson Park, Forest Glen, Portage Park",No,,,2,"Former fire fighter, allegations of ethics abuse of power and misogyny, proponent of sancutary city but not broadening current ordinances, viewed as conservative, fined $20,000 by the board of ethics (later overturned)",Sponsor,,
"Clay, Angela",46,(312) 744-6831,Ward46@cityofchicago.org,,4544 North Broadway,60640,312-744-6831/5694,121 N. La Salle Room 200,2023,D,"Uptown, Lake View",No,,,1,"Concerns around addressing influx of migrants, summer youth programming is a priority",,,
"Martin, Matthew J.",47,(773) 868-4747,Ward47@cityofchicago.org,http://www.aldermanmartin.com,4243 North Lincoln Avenue,60618,(312) 744-4021/0446/3778,"121 North LaSalle Street, Room 200, Office 7",2019,D,"North Center, Lincoln Square, Lake View, Uptown",No,,,1,"Opposed Mayor Lightfoot's budget, ran unopposed, supported ethics reforms opposed by Mayor Johnson",,,
"Manaa-Hoppenworth, Leni",48,(773) 784-5277,Ward48@cityofchicago.org,https://www.the48thward.org/,1129  West Bryn Mawr Avenue,60660,(312) 744-6860/6834,"121 North Lasalle, Room 300",2023,D,"Edgewater, Uptown",No,,,1,"Founder of Indivisible-Illinois, endoresed and was endorsed by Brandon Johnson, proponent of RCV, mental health advocate, beat better funded candidate in the 2023 election",,,
"Hadden, Maria E.",49,(773) 338-5796,Ward49@cityofchicago.org,http://www.49thward.org,1447 West Morse Avenue,60626,(312) 744-3067/3080/1672,"121 North LaSalle Street, Room 300",2019,D,Rogers Park,No,,,1,"Opposed Mayor Lightfoot's budget, endorsed Brandon Johnson",,,
"Silverstein, Debra L.",50,(773) 262-1050,Ward50@cityofchicago.org,http://50thwardchicago.com,2949 West Devon Avenue,60659,(312) 744-6855/5680/3180,"121 North LaSalle Street, Room 300, Office 24",2011,D,West Ridge,No,,,3,Has faced several antisemetic incidents in recent years,,,
"Valencia, Anna M.",Clerk,(312) 742-5375,cityclerk@cityofchicago.org,http://www.chicityclerk.com,"121 North LaSalle Street, Room 107",60602,(312) 744-8590,"121 North LaSalle Street, Room 107",,,,,,,,,,,
"Johnson, Brandon",Mayor,,,https://www.chicago.gov/city/en/depts/mayor.html,"121 North LaSalle Street, 4th Floor",60602,,121 N LaSalle Street 4th Floor,,,,,,,,,,,
